codigo_barras,nome_produto,descricao
7896185312402,LEITE UHT SEMI DESNATADO SHEFA GARRAFA 1000ML,LEITE SHEFA 1L SEMID
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE L VIDA S
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITE EST TIROL 1 LT
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITE L.V.TIROL 1L INTEG
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE L V SHE
7896256600247,LEITE UHT DESNATADO LIGHT TIROL TP 1000ML,LEITE TIROL DESNATADO 1L
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE.LV.SHEFA GAR.1
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE LONGA VIDA INTEGRAL SHEFA PET 1L
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE SHEFA INTEGRAL GARRAFA PET 1L
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITE UHT TIROL 1LT
7896185312419,LEITE UHT DESNATADO SHEFA GARRAFA 1000ML,LEITE LV SHEFA GF 1L
7896256600230,LEITE UHT SEMI DESNATADO TIROL TP 1000ML,LEITE L.V.TIROL
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LTE SHEFA PET INT
7896185312402,LEITE UHT SEMI DESNATADO SHEFA GARRAFA 1000ML,LEITE SHEFA SEMI DESN 1L
7896256600230,LEITE UHT SEMI DESNATADO TIROL TP 1000ML,LEITE LV SEMI DESN TIR
7896185312419,LEITE UHT DESNATADO SHEFA GARRAFA 1000ML,LEITE L V SHEFA GFA 1L D
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,TIROL INTEGRAL 1L
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,"LEITE TIROL L.VIDA 1L, INTEGRAL"
7896185312419,LEITE UHT DESNATADO SHEFA GARRAFA 1000ML,LEITE SHEFA GARRAFA
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE SHEFA INTEGRAL GARRAFA 1 LT
7896569400244,LEITE UHT INTEGRAL LIDER TP CAIXA 12 X 1000ML,LEITE L VIDA LIDER 1 LT INTEGRAL CX 12 X 1LT
7896185312402,LEITE UHT SEMI DESNATADO SHEFA GARRAFA 1000ML,LEITE UHT SHEFA SEMI DESNATADO 1 LT
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE LV SHEFA 1L
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITE L.V.TIROL INTEG
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITE TIROL UHT INTEGRAL 1L
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITE UHT TIROL INT 1L
7896185312419,LEITE UHT DESNATADO SHEFA GARRAFA 1000ML,LEITE SHEFA 1 LT.
7896256600230,LEITE UHT SEMI DESNATADO TIROL TP 1000ML,LEITE TIROL 1LT SE
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITE L VIDA TIROL 1L INT
7896185312419,LEITE UHT DESNATADO SHEFA GARRAFA 1000ML,L VI SHEF GFA DES 1L
7896185312402,LEITE UHT SEMI DESNATADO SHEFA GARRAFA 1000ML,LEITE L.V.SHEFA GFA.SEMI DESNA
7896185312419,LEITE UHT DESNATADO SHEFA GARRAFA 1000ML,LEITE UHT PET DESNATADO SHEFA 1LT
7896256600230,LEITE UHT SEMI DESNATADO TIROL TP 1000ML,LEITE LV TIROL 1L TP SEMI DESN
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,"LEITE TIROL 1L I(0,90)"
7896185312419,LEITE UHT DESNATADO SHEFA GARRAFA 1000ML,LEITE SHEFA DESN GF 1L
7896569400244,LEITE UHT INTEGRAL LIDER TP CAIXA 12 X 1000ML,LTE LIDER INT 12X1L
7896185310033,LEITE UHT INTEGRAL SHEFA TP 1000ML,LEITE L VIDA SHEFA 1 LT INTEGRAL 1LT
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LTE INT SHEFA PET
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE UHT INTEGRAL SHEFA PET 1L
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE UHT INTEGRAL SHEFA 1L GF
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE LVIDA SHEFA PET 1L
7896185312419,LEITE UHT DESNATADO SHEFA GARRAFA 1000ML,LEITE SHEFA GARRAFA 1LT DESNATADO UNIDADE
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE SHEFA PET 1LT INTEGRAL
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE UHT SHEFA GARR
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE LVSHEFA GARR
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,##04012010#LEITE INTEGRAL SHEFA UN
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE SHEFA INTEGRAL GFA
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE SHEFA INTEG GAR 1L
